"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @MoureDev: Viernes!!! (de confinamiento)

#BuenosDías #HolaMundo https://t.co/GCkWrIvX6U",FALSE,0,NA,2020-03-27 15:52:23,FALSE,NA,"1243566545252614149",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","jvgranados_",2,TRUE,FALSE,NA,NA
"Tener un buen sueño es una gran motivación para tener un gran día!! #HolaMundo",FALSE,0,NA,2020-03-27 14:54:26,FALSE,NA,"1243551963406651394",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","YoJulianNu",0,FALSE,FALSE,NA,NA
"@estebangerbasi Me imagino que encabezados por #HolaMundo... https://t.co/rGV3qQfU4z",FALSE,0,"estebangerbasi",2020-03-27 14:37:22,FALSE,"1243546301511368706","1243547666895769600","26778965","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cesango",0,FALSE,FALSE,NA,NA
"RT @CovidWars: Açò ja va de bò... Ens posem a fundir plàstic? 
#EstoPasara #CoronavirusMaker #MariolaCotraataca #HolaMundo #HelloWorld #Est…",FALSE,0,NA,2020-03-27 08:27:49,FALSE,NA,"1243454668568694784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_JDValle",1,TRUE,FALSE,NA,NA
"RT @MoureDev: Viernes!!! (de confinamiento)

#BuenosDías #HolaMundo https://t.co/GCkWrIvX6U",FALSE,0,NA,2020-03-27 07:00:00,FALSE,NA,"1243432567170387968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_barckcode",2,TRUE,FALSE,NA,NA
"Viernes!!! (de confinamiento)

#BuenosDías #HolaMundo https://t.co/GCkWrIvX6U",FALSE,9,NA,2020-03-27 06:58:24,FALSE,NA,"1243432165427359745",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MoureDev",2,FALSE,FALSE,NA,NA
"My 

#spirit 🍃🌹 
#energy ⚡

#holamundo 😌 https://t.co/OjS0bD1eTp",FALSE,0,NA,2020-03-27 06:17:45,FALSE,NA,"1243421933535760386",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","buenavibraxaqui",0,FALSE,FALSE,NA,NA
"RT @algoqrecordar: ¡¡¡ESTRENO ONLINE!!! El 9 de enero en https://t.co/h5hP5jZoW0 y en abierto, podrás ver el documental #holamundo 🤗 Partic…",FALSE,0,NA,2020-03-27 06:05:08,FALSE,NA,"1243418757675937795",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joana_abrines",36,TRUE,FALSE,NA,NA
"Açò ja va de bò... Ens posem a fundir plàstic? 
#EstoPasara #CoronavirusMaker #MariolaCotraataca #HolaMundo… https://t.co/7M9EWCc4KF",FALSE,2,NA,2020-03-26 23:22:25,TRUE,NA,"1243317412616900610",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CovidWars",1,FALSE,FALSE,NA,NA
"HolaMundo",FALSE,0,NA,2020-03-26 18:30:02,FALSE,NA,"1243243832403165186",NA,"<a href=""http://www.dragonkin.global"" rel=""nofollow"">DragonKin_Tester</a>","DragonKinTest",0,FALSE,FALSE,NA,NA
"#HolaMundo 🌎 #BuenosDíasATodos 👋

       Ahora que disponemos de tiempo quizás sea el momento de agradecer a todas… https://t.co/bKgnh2bKMT",FALSE,0,NA,2020-03-26 15:05:33,TRUE,NA,"1243192370734280704",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Gmezac",0,FALSE,FALSE,NA,NA
"He comprobado que siguiendo a otros developers aprendes màs y mejor que siguiendo a estos CEO's-influencers-rocksta… https://t.co/W217gpVdQo",FALSE,1,NA,2020-03-26 14:41:40,TRUE,NA,"1243186360552390658",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wjcg42",0,FALSE,FALSE,NA,NA
"Te gusta màs trabajar en Features? O en Hotfixes?

A mì me genera un placer genial trabajar en hotfixes de proyecto… https://t.co/Rt117zrtgo",FALSE,0,NA,2020-03-26 14:25:21,TRUE,NA,"1243182255884902401",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wjcg42",0,FALSE,FALSE,NA,NA
"https://t.co/8KvheCnLVh #felizjueves #holamundo #mascotas #pets",FALSE,0,NA,2020-03-26 11:00:12,FALSE,NA,"1243130629065256961",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","motivate_radio",0,FALSE,FALSE,NA,NA
"Es hora de salir de la zona de confort...

#HolaMundo #BuenosDías https://t.co/ED6pUf9ulb",FALSE,10,NA,2020-03-26 07:11:12,FALSE,NA,"1243072999613444096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MoureDev",0,FALSE,FALSE,NA,NA
"Año 2020 y me hice un twitter por primera vez... here we go #socialmedia #holamundo",FALSE,3,NA,2020-03-25 22:34:48,FALSE,NA,"1242943041997926401",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","valenbl4st",0,FALSE,FALSE,NA,NA
"#quedatenecasa #laputamadre #hagancaso #emergencia https://t.co/eOcayUB59W",FALSE,1,NA,2020-03-25 22:07:11,FALSE,NA,"1242936092304781313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","holamundo_2013",0,FALSE,FALSE,NA,NA
