"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @nicksdjohnson: I'm a ""senior developer"". I helped launch Google App Engine and spent 4 years teaching others to use it. I wrote parts o…",FALSE,0,NA,2020-03-31 15:25:21,FALSE,NA,"1245009294631763980",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoserraCasero",1823,TRUE,FALSE,NA,NA
"Maybe I ain't working enough
Hurting enough
https://t.co/2qDRokvwaK",FALSE,0,NA,2020-03-29 01:59:12,FALSE,NA,"1244081643620573190",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoserraCasero",0,FALSE,FALSE,NA,NA
"That moment. 
https://t.co/4K40JwTzu0",FALSE,0,NA,2020-03-26 17:09:10,FALSE,NA,"1243223480281305088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoserraCasero",0,FALSE,FALSE,NA,NA
